Block,Line,vial,start,males,females,total,propsurv,propmale,propfem,propexpsurvmale,propexpsurvfem,allele
B2,L1,5,50,11,12,23,0.46,0.47826087,0.52173913,0.44,0.48,L
B2,L1,6,50,13,12,25,0.5,0.52,0.48,0.52,0.48,L
B2,L1,7,50,18,11,29,0.58,0.62068966,0.37931035,0.72,0.44,L
B2,L1,8,50,17,13,30,0.6,0.56666667,0.43333333,0.68,0.52,L
B2,L1,9,50,16,12,28,0.56,0.57142857,0.42857143,0.64,0.48,L
B2,L1,10,50,9,12,21,0.42,0.42857143,0.57142857,0.36,0.48,L
B2,L1,11,50,9,16,25,0.5,0.36,0.64,0.36,0.64,L
B2,L1,12,50,13,14,27,0.54,0.48148148,0.51851852,0.52,0.56,L
B2,L1,13,50,14,14,28,0.56,0.5,0.5,0.56,0.56,L
B2,L1,14,50,16,18,34,0.68,0.47058824,0.52941177,0.64,0.72,L
B2,L1,15,50,14,23,37,0.74,0.37837838,0.62162162,0.56,0.92,L
B2,L1,16,50,14,21,35,0.7,0.4,0.6,0.56,0.84,L
B2,L1,17,50,19,21,40,0.8,0.475,0.525,0.76,0.84,L
B2,L1,18,50,12,23,35,0.7,0.34285714,0.65714286,0.48,0.92,L
B2,L2,1,50,17,23,40,0.8,0.425,0.575,0.68,0.92,L
B2,L2,2,50,14,24,38,0.76,0.36842105,0.63157895,0.56,0.96,L
B2,L2,3,50,23,12,35,0.7,0.65714286,0.34285714,0.92,0.48,L
B2,L2,4,50,21,17,38,0.76,0.55263158,0.44736842,0.84,0.68,L
B2,L2,5,50,19,20,39,0.78,0.48717949,0.51282051,0.76,0.8,L
B2,L2,6,50,25,16,41,0.82,0.6097561,0.3902439,1,0.64,L
B2,L2,7,50,24,12,36,0.72,0.66666667,0.33333333,0.96,0.48,L
B2,L2,8,50,22,15,37,0.74,0.5945946,0.40540541,0.88,0.6,L
B2,L2,9,50,10,20,30,0.6,0.33333333,0.66666667,0.4,0.8,L
B2,L2,10,50,20,20,40,0.8,0.5,0.5,0.8,0.8,L
B2,L2,11,50,12,24,36,0.72,0.33333333,0.66666667,0.48,0.96,L
B2,L2,12,50,21,18,39,0.78,0.53846154,0.46153846,0.84,0.72,L
B2,L2,13,50,22,21,43,0.86,0.51162791,0.48837209,0.88,0.84,L
B2,L2,14,50,24,16,40,0.8,0.6,0.4,0.96,0.64,L
B2,L2,15,50,15,22,37,0.74,0.40540541,0.5945946,0.6,0.88,L
B2,L2,16,50,18,17,35,0.7,0.51428571,0.48571429,0.72,0.68,L
B2,L2,17,50,16,17,33,0.66,0.48484849,0.51515152,0.64,0.68,L
B2,L2,18,50,14,30,44,0.88,0.31818182,0.68181818,0.56,1.2,L
B2,L3,1,50,26,13,39,0.78,0.66666667,0.33333333,1.04,0.52,L
B2,L3,2,50,17,11,28,0.56,0.60714286,0.39285714,0.68,0.44,L
B2,L3,3,50,17,12,29,0.58,0.5862069,0.4137931,0.68,0.48,L
B2,L3,4,50,18,18,36,0.72,0.5,0.5,0.72,0.72,L
B2,L3,5,50,16,18,34,0.68,0.47058824,0.52941177,0.64,0.72,L
B2,L3,6,50,10,25,35,0.7,0.28571429,0.71428571,0.4,1,L
B2,L3,7,50,20,8,28,0.56,0.71428571,0.28571429,0.8,0.32,L
B2,L3,8,50,18,16,34,0.68,0.52941177,0.47058824,0.72,0.64,L
B2,L3,9,50,11,18,29,0.58,0.37931035,0.62068966,0.44,0.72,L
B2,L3,10,50,22,18,40,0.8,0.55,0.45,0.88,0.72,L
B2,L3,11,50,21,19,40,0.8,0.525,0.475,0.84,0.76,L
B2,L3,12,50,13,19,32,0.64,0.40625,0.59375,0.52,0.76,L
B2,L3,13,50,18,19,37,0.74,0.48648649,0.51351351,0.72,0.76,L
B2,L3,14,50,18,14,32,0.64,0.5625,0.4375,0.72,0.56,L
B2,L3,15,50,13,22,35,0.7,0.37142857,0.62857143,0.52,0.88,L
B2,L3,16,50,17,18,35,0.7,0.48571429,0.51428571,0.68,0.72,L
B2,L3,17,50,18,18,36,0.72,0.5,0.5,0.72,0.72,L
B2,L3,18,50,13,15,28,0.56,0.46428571,0.53571429,0.52,0.6,L
B2,S1,1,50,23,10,33,0.66,0.6969697,0.3030303,0.92,0.4,S
B2,S1,2,50,21,18,39,0.78,0.53846154,0.46153846,0.84,0.72,S
