/Users/michaeljardine/.densitycount/models/pv20_1527600777_firsttestmodel_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-070.png,1,27.19431482,30.99040902,0.511417098
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-071.png,1,36.73692076,42.20859938,0.484077458
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-072.png,1,33.03667777,37.85863141,0.489658302
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-073.png,1,20.5781313,23.21249105,0.552931914
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-074.png,1,38.36910134,44.12737425,0.483730208
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-075.png,1,39.37119997,45.30543118,0.484162872
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-076.png,1,20.25660604,22.83450923,0.555346046
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-077.png,1,40.62994002,46.78519317,0.485400451
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-078.png,1,35.14071511,40.33211627,0.485674709
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-079.png,1,18.25164869,20.47750179,0.571137258
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-080.png,1,12.86720956,14.14760999,0.619186377
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-081.png,1,24.18160702,27.44870041,0.528296404
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-082.png,1,6.382580469,6.524346067,0.685928426
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-083.png,1,12.411575,13.61197064,0.623587743
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-084.png,1,23.64766877,26.82100804,0.531653851
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-085.png,1,20.00996899,22.54456523,0.557220576
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-086.png,1,14.05153327,15.53988888,0.607975213
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-087.png,1,31.44345059,35.98564975,0.49406701
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-088.png,1,15.20025904,16.8903192,0.597431262
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-089.png,1,26.96919182,30.72575671,0.512552662
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-090.png,1,27.85977879,31.77272169,0.508183626
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-091.png,1,21.52978182,24.33124171,0.545986797
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-092.png,1,21.04612502,23.7626597,0.549478708
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-093.png,1,41.79713185,48.157332,0.48723377
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-094.png,1,32.46308195,37.184318,0.491109108
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-095.png,1,23.19604802,26.29008728,0.534575807
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-096.png,1,26.3509449,29.99895193,0.515778064
