Predicted count: ,Corrected count: ,CI ,line,gentype,allele,NA
21.52628612,21.19340524,0.582028061,19,D,F,NA
38.6538361,38.11966974,0.590899516,24,D,F,NA
69.09530752,68.20338852,0.606794014,24,D,F,NA
51.11564139,50.43502206,0.597387106,24,D,F,NA
12.5832103,12.35542977,0.577417341,24,D,F,NA
47.56389315,46.9250145,0.59553532,24,D,F,NA
49.6545962,48.9911473,0.596625093,24,D,F,NA
47.11882692,46.48517875,0.595303428,24,D,F,NA
60.44670442,59.65642508,0.60226233,24,D,F,NA
33.8287035,33.35124281,0.588394906,24,D,F,NA
67.52875313,66.65524451,0.605972257,24,D,F,NA
20.76367041,20.43975191,0.581634301,24,D,F,NA
30.08691774,29.65343106,0.586455511,24,D,F,NA
19.42567873,19.1174845,0.580943719,24,D,F,NA
29.11831819,28.69621464,0.585953891,24,D,F,NA
23.33557379,22.9814299,0.582962679,24,D,F,NA
56.66332706,55.91751052,0.600283842,24,D,F,NA
34.21031304,33.72836761,0.588592839,24,D,F,NA
17.25303015,16.97036921,0.579823055,24,D,F,NA
46.20720772,45.58427303,0.594828556,95,D,F,NA
29.2043009,28.78118687,0.585998413,95,D,F,NA
57.26475992,56.51187525,0.600598196,95,D,F,NA
30.19819681,29.76340236,0.586513151,95,D,F,NA
46.65933635,46.03108818,0.595064057,95,D,F,NA
43.78581841,43.19134024,0.593567932,95,D,F,NA
31.69219485,31.23984272,0.587287228,95,D,F,NA
38.97544091,38.437495,0.5910666,95,D,F,NA
46.49129399,45.86502067,0.594976524,95,D,F,NA
38.8031841,38.26726258,0.590977105,95,D,F,NA
22.29889849,21.95693776,0.582427093,95,D,F,NA
15.66241911,15.39845126,0.57900317,95,D,F,NA
37.31681157,36.79835812,0.590205083,95,D,F,NA
17.19820006,16.91618349,0.579794785,95,D,F,NA
26.4839402,26.09279625,0.584590459,95,D,F,NA
44.2047467,43.60534523,0.593785961,95,D,F,NA
21.00474188,20.67799027,0.581758761,95,D,F,NA
