Frame number: ,Predicted count: ,Corrected count: ,CI ,photo number,line,genotype,allele 
1,34.39992239,33.23438701,0.556899765,135,5,D,M
1,34.63065041,33.45774915,0.557478068,136,5,D,M
1,52.02589582,50.29766006,0.601501526,137,5,D,M
1,15.89847799,15.32359196,0.511090677,138,5,D,M
1,11.56581134,11.12924353,0.500542289,139,8,D,M
1,29.4214896,28.4148882,0.544461232,140,8,D,M
1,24.60764103,23.75471933,0.532509194,141,8,D,M
1,30.27181114,29.23806365,0.546580285,142,8,D,M
1,71.31586807,68.9718096,0.651156589,143,8,D,M
1,40.64556504,39.28064064,0.57260852,144,8,D,M
1,48.56123505,46.94360685,0.59267061,145,8,D,M
1,32.42566932,31.32316098,0.551957988,146,8,D,M
1,19.36824992,18.68259316,0.519590765,147,8,D,M
1,51.82036687,50.09869252,0.600976856,148,8,D,M
1,30.57858678,29.53504563,0.547345351,149,8,D,M
1,24.40476409,23.55831913,0.532007184,150,8,D,M
1,45.52463342,44.00394721,0.584955166,151,8,D,M
1,26.6468872,25.72886359,0.537562965,152,8,D,M
1,38.08867869,36.80538162,0.566164086,153,8,D,M
1,27.06112359,26.12987569,0.538591248,154,8,D,M
1,21.68368333,20.92410752,0.525287769,155,8,D,M
1,24.82899047,23.9690023,0.533057075,156,8,D,M
1,13.85631389,13.34662293,0.506109472,157,8,D,M
1,34.60307307,33.4310522,0.557408939,158,8,D,M
1,19.70926795,19.01272437,0.5204286,159,8,D,M
1,19.09467719,18.41775411,0.518918943,160,8,D,M
1,25.68086543,24.79368159,0.535167172,161,8,D,M
1,32.75665219,31.64357739,0.55278565,162,8,D,M
1,34.72420302,33.54831514,0.557712597,163,8,D,M
1,21.05482496,20.31532514,0.523738583,164,16,D,M
1,31.75465932,30.67357264,0.55028108,165,16,D,M
1,33.12560332,32.00074994,0.55370865,166,16,D,M
1,19.46725496,18.77843752,0.519833963,167,16,D,M
1,10.00946607,9.622583805,0.496771779,168,16,D,M
1,11.41503036,10.98327616,0.500176557,169,16,D,M
1,21.62633749,20.86859242,0.52514644,170,16,D,M
1,12.44895098,11.98418938,0.502686288,171,16,D,M
1,13.44245475,12.94597604,0.505102001,172,16,D,M
1,10.45999388,10.05872874,0.497862221,173,16,D,M
1,41.37836166,39.9900431,0.574458815,174,16,D,M
1,31.44606402,30.37482909,0.549510343,175,16,D,M
1,21.990987,21.22160068,0.526045321,176,16,D,M
1,21.47193267,20.7191169,0.524765966,177,16,D,M
1,18.01092405,17.36859924,0.516260258,178,16,D,M
1,15.74247538,15.17256966,0.510709584,179,16,D,M
1,2.732857282,2.578277111,0.479282043,180,16,D,M
1,5.670920644,5.422544271,0.486315455,181,16,D,M
1,35.16022642,33.97041872,0.558806012,182,16,D,M
1,26.10258185,25.20193491,0.536212671,183,16,D,M
1,28.21312712,27.24510209,0.5414539,184,16,D,M
1,18.43974802,17.78373322,0.517311735,185,19,D,F
1,32.83267188,31.71717019,0.552975793,186,19,D,F
1,9.541607246,9.16966114,0.495640293,187,19,D,F
1,33.09889986,31.97489898,0.553641832,188,19,D,F
1,14.09669697,13.5793319,0.506694957,189,19,D,F
1,3.057985109,2.893025395,0.480058407,190,19,D,F
1,25.25545905,24.38185609,0.534113132,191,19,D,F
1,21.30526885,20.55777373,0.524355379,192,19,D,F
1,13.26193077,12.7712152,0.50466276,193,19,D,F
1,24.80176508,23.94264607,0.532989678,194,19,D,F
1,26.8074184,25.88426991,0.537961393,195,24,D,F
1,26.54757191,25.63271889,0.537316513,196,24,D,F
1,5.316496844,5.079435273,0.485464915,197,24,D,F
1,10.14681737,9.755550232,0.497104129,198,24,D,F
1,14.52878781,13.99762846,0.507747948,199,24,D,F
1,40.0672778,38.72081494,0.571149399,200,24,D,F
1,23.68007339,22.85676383,0.530215121,201,24,D,F
1,6.59143358,6.313670291,0.488527108,202,24,D,F
1,13.58778618,13.08666783,0.505455708,203,24,D,F
1,7.078950763,6.785623732,0.489699954,204,24,D,F
1,21.09539321,20.35459827,0.523838479,205,24,D,F
1,30.52470383,29.48288286,0.547210951,206,24,D,F
1,12.43441181,11.97011437,0.502650966,207,24,D,F
1,27.95048369,26.99084341,0.540800866,208,24,D,F
1,9.63335343,9.258478373,0.495862103,209,24,D,F
1,31.63314876,30.55594125,0.549977565,210,24,D,F
1,10.60741692,10.20144537,0.498219224,211,24,D,F
1,17.57522664,16.94681125,0.515192633,212,24,D,F
1,11.8012059,11.35712324,0.501113445,213,24,D,F
1,19.93649787,19.23270008,0.52098711,214,24,D,F
1,24.48791832,23.63881871,0.532212928,215,24,D,F
1,13.53316254,13.03378803,0.505322756,216,24,D,F
1,3.215433952,3.045447763,0.480434552,217,24,D,F
1,13.19730653,12.70865406,0.504505552,218,24,D,F
1,11.78309231,11.33958791,0.501069486,219,24,D,F
1,31.59763673,30.52156292,0.549888869,220,95,D,F
1,23.25236575,22.44271054,0.529158309,221,95,D,F
1,22.03803359,21.26714533,0.526161328,222,95,D,F
1,21.13042016,20.388507,0.523924736,223,95,D,F
1,12.30756282,11.84731496,0.502342826,224,95,D,F
1,18.25679202,17.606618,0.516863043,225,95,D,F
1,13.14266479,12.65575672,0.504372641,226,95,D,F
1,31.99402041,30.90529225,0.550879104,227,95,D,F
1,6.437534059,6.164683936,0.488157082,228,95,D,F
1,7.811943276,7.495215826,0.491465314,229,95,D,F
1,27.12538846,26.19208894,0.538750827,230,95,D,F
1,4.662525483,4.44634162,0.483897016,231,95,D,F
1,16.28403665,15.69684186,0.512032946,232,95,D,F
1,32.72249133,31.6105071,0.552700211,233,95,D,F
1,16.38073414,15.79045233,0.512269355,234,95,D,F
