Frame number: ,Predicted count: ,Corrected count: ,CI ,photo number,line,genotype,allele,age
1,19.91439158,19.89223407,0.431188378,150,19,B,F,four
1,15.28697285,15.28035257,0.430163508,151,24,B,F,four
1,32.27487558,32.21121594,0.43393226,152,24,B,F,four
1,20.43797527,20.41405975,0.431304422,153,95,B,F,four
1,26.92399728,26.87830399,0.432743308,154,5,D,M,four
1,24.46012894,24.42270845,0.432196416,155,5,D,M,four
1,28.89439027,28.8420811,0.433180926,156,5,D,M,four
1,11.54089326,11.54685099,0.429334788,157,5,D,M,four
1,8.327465723,8.344213006,0.428624586,158,5,D,M,four
1,18.98575965,18.96672015,0.430982603,159,5,D,M,four
1,13.66535388,13.66417843,0.429804663,160,5,D,M,four
1,14.13916117,14.13639483,0.429909495,161,5,D,M,four
1,4.091073668,4.122045255,0.427689268,162,5,D,M,four
1,17.10087708,17.08816635,0.430565093,163,5,D,M,four
1,36.20501201,36.12815636,0.434806608,164,5,D,M,four
1,7.920946672,7.939058901,0.428534786,166,5,D,M,four
1,3.868855198,3.900572916,0.427640237,167,5,D,M,four
1,9.966167424,9.977412526,0.428986678,168,5,D,M,four
1,19.1564695,19.13685682,0.431020427,169,8,D,M,four
1,7.270891427,7.291186311,0.42839121,170,8,D,M,four
1,24.60642058,24.56850889,0.432228877,171,8,D,M,four
1,13.53463511,13.53389856,0.429775744,172,8,D,M,four
1,19.33712059,19.31690134,0.431060455,173,8,D,M,four
1,28.06501713,28.0154927,0.432996697,174,8,D,M,four
1,20.0271254,20.00458937,0.431213363,175,8,D,M,four
1,20.90859209,20.8830964,0.431408741,176,8,D,M,four
1,16.68322148,16.67191309,0.43047261,177,8,D,M,four
1,29.57098376,29.51640283,0.433331249,178,8,D,M,four
1,14.48677259,14.4828391,0.429986414,179,8,D,M,four
1,33.49411477,33.42636135,0.43420341,180,8,D,M,four
1,20.42013576,20.39628014,0.431300468,181,8,D,M,four
1,20.99026453,20.96449461,0.431426846,182,16,D,M,four
1,6.694461639,6.716691971,0.428263918,183,16,D,M,four
1,13.08942791,13.0901862,0.429677256,184,16,D,M,four
1,6.289249289,6.31284018,0.428174447,185,16,D,M,four
