Predicted count: ,Corrected count: ,CI ,line,genotype,allele,block
5.779443553,5.52760264,0.486575999,L3,B,M,2
16.33959055,15.75062223,0.512168761,L3,B,M,2
22.51001373,21.72405773,0.527325563,L3,B,M,2
15.04053757,14.49304086,0.508996016,L3,B,M,2
6.102346004,5.840196591,0.487351541,L3,B,M,2
25.17358379,24.30259465,0.533910338,L3,B,M,2
23.83401756,23.00579341,0.530595653,S1,B,F,2
13.95871672,13.44575661,0.50635886,S1,B,F,2
8.778886568,8.431289937,0.493797694,S1,B,F,2
38.54076563,37.2430359,0.567302202,S1,B,F,2
8.298906229,7.96663273,0.492639421,S1,B,F,2
53.10273755,51.34012415,0.604252092,S1,B,F,2
13.00687724,12.52430412,0.504042401,S1,B,F,2
9.590519112,9.217011519,0.49575854,S1,B,F,2
13.17397594,12.68606828,0.504448801,S1,B,F,2
21.18420227,20.44057215,0.524057187,S1,B,F,2
11.03074838,10.61126219,0.499244873,S1,B,F,2
21.50519421,20.75131657,0.524847919,S1,B,F,2
18.80520592,18.13752406,0.518208379,S2,B,F,2
8.717907385,8.372257484,0.493650486,S2,B,F,2
17.93540892,17.29549489,0.516075166,S2,B,F,2
3.117819029,2.950949147,0.480201337,S2,B,F,2
21.03321409,20.29440418,0.52368537,S2,B,F,2
17.58812336,16.95929625,0.515224224,S2,B,F,2
12.57587528,12.10706168,0.502994684,S2,B,F,2
36.167136,34.94518321,0.561333179,S2,B,F,2
24.9315843,24.06832087,0.53331107,S2,B,F,2
16.10040781,15.51907528,0.511584103,S2,B,F,2
7.31299503,7.012196253,0.490263377,S2,B,F,2
18.2819622,17.63098464,0.516924764,S2,B,F,2
23.92979953,23.09851758,0.530832456,S2,B,F,2
5.40451811,5.164646504,0.485676094,S2,B,F,2
16.78850218,16.18520258,0.513266674,S2,B,F,2
19.60972298,18.91635731,0.520183988,S2,B,F,2
33.38548663,32.25233661,0.554359045,S2,B,F,2
33.11980625,31.99513794,0.553694144,S2,B,F,2
16.80733626,16.20343539,0.513312754,S2,B,F,2
45.71966592,44.19275339,0.585450004,S2,B,F,2
9.666704092,9.290764331,0.495942741,S3,B,F,2
14.63181793,14.09736939,0.507999138,S3,B,F,2
10.79369191,10.38177362,0.49867044,S3,B,F,2
10.86503118,10.45083543,0.498843284,S3,B,F,2
4.894447807,4.67085994,0.484452829,S3,B,F,2
14.23536805,13.71357598,0.507032814,S3,B,F,2
6.335589765,6.065994163,0.487912032,S3,B,F,2
11.63171401,11.19304229,0.500702171,S3,B,F,2
6.315454963,6.046502153,0.487863638,S3,B,F,2
1.73664812,1.613871428,0.476906316,S3,B,F,2
6.245240416,5.978529172,0.487694891,S3,B,F,2
4.087851126,3.890013455,0.482520837,S3,B,F,2
1.76736221,1.643604986,0.476979492,S3,B,F,2
28.4293661,27.45443774,0.541991722,S3,B,F,2
5.948349233,5.691116091,0.486981616,S3,B,F,2
12.64386648,12.1728823,0.503159913,L1,D,M,2
11.36726089,10.93703171,0.500060708,L1,D,M,2
42.3859214,40.965437,0.577005263,L1,D,M,2
5.861298996,5.606844889,0.486772554,L1,D,M,2
29.17158922,28.17296576,0.543838903,L1,D,M,2
22.45708178,21.67281561,0.527194957,L1,D,M,2
24.17608058,23.33693624,0.531441485,L1,D,M,2
24.92642392,24.06332524,0.533298293,L1,D,M,2
14.04775891,13.53195617,0.506575744,L1,D,M,2
37.65193782,36.38258347,0.565065154,L1,D,M,2
9.905540626,9.521976129,0.496520363,L1,D,M,2
25.62384948,24.73848583,0.535025867,L1,D,M,2
20.8826673,20.14866352,0.523314721,L1,D,M,2
31.9468261,30.85960459,0.550761179,L1,D,M,2
37.70569919,36.43462854,0.5652004,L1,D,M,2
36.28760922,35.06181038,0.561635745,L1,D,M,2
13.86928633,13.35918124,0.506141062,L1,D,M,2
17.76370988,17.12927726,0.515654401,L1,D,M,2
26.45275696,25.54093087,0.53708126,L1,D,M,2
34.39992239,33.23438701,0.556899765,L1,D,M,2
34.63065041,33.45774915,0.557478068,L1,D,M,2
52.02589582,50.29766006,0.601501526,L1,D,M,2
15.89847799,15.32359196,0.511090677,L1,D,M,2
11.56581134,11.12924353,0.500542289,L2,D,M,2
29.4214896,28.4148882,0.544461232,L2,D,M,2
24.60764103,23.75471933,0.532509194,L2,D,M,2
30.27181114,29.23806365,0.546580285,L2,D,M,2
71.31586807,68.9718096,0.651156589,L2,D,M,2
40.64556504,39.28064064,0.57260852,L2,D,M,2
48.56123505,46.94360685,0.59267061,L2,D,M,2
32.42566932,31.32316098,0.551957988,L2,D,M,2
19.36824992,18.68259316,0.519590765,L2,D,M,2
51.82036687,50.09869252,0.600976856,L2,D,M,2
30.57858678,29.53504563,0.547345351,L2,D,M,2
24.40476409,23.55831913,0.532007184,L2,D,M,2
45.52463342,44.00394721,0.584955166,L2,D,M,2
26.6468872,25.72886359,0.537562965,L2,D,M,2
38.08867869,36.80538162,0.566164086,L2,D,M,2
27.06112359,26.12987569,0.538591248,L2,D,M,2
21.68368333,20.92410752,0.525287769,L2,D,M,2
24.82899047,23.9690023,0.533057075,L2,D,M,2
13.85631389,13.34662293,0.506109472,L2,D,M,2
34.60307307,33.4310522,0.557408939,L2,D,M,2
19.70926795,19.01272437,0.5204286,L2,D,M,2
19.09467719,18.41775411,0.518918943,L2,D,M,2
25.68086543,24.79368159,0.535167172,L2,D,M,2
32.75665219,31.64357739,0.55278565,L2,D,M,2
34.72420302,33.54831514,0.557712597,L2,D,M,2
21.05482496,20.31532514,0.523738583,L3,D,M,2
