"","FSS.5.100","FSS.4.100","FSS.3.100","FSS.2.100","FSS.1.100"
"407",0.44,0.52,0.31,0.2,0.1
"408",0.46,0.32,0.34,0.2,0.09
"409",0.56,0.36,0.33,0.18,0.07
"410",0.49,0.34,0.38,0.26,0.06
"411",0.45,0.36,0.26,0.26,0.09
"412",0.51,0.47,0.33,0.14,0.09
"413",0.52,0.56,0.32,0.22,0.08
"414",0.52,0.34,0.26,0.18,0.06
"415",0.51,0.24,0.26,0.18,0.11
"416",0.47,0.37,0.38,0.11,0.15
"417",0.52,0.34,0.27,0.16,0.14
"418",0.44,0.33,0.28,0.3,0.14
"419",0.44,0.41,0.3,0.23,0.15
"420",0.57,0.39,0.29,0.14,0.08
"421",0.42,0.48,0.39,0.24,0.09
"422",0.52,0.53,0.3,0.29,0.1
"423",0.38,0.39,0.23,0.2,0.14
"424",0.62,0.43,0.2,0.16,0.09
"425",0.4,0.41,0.27,0.2,0.14
"426",0.57,0.32,0.19,0.2,0.09
"427",0.46,0.41,0.22,0.18,0.1
"428",0.43,0.46,0.3,0.16,0.16
"429",0.48,0.44,0.36,0.23,0.11
"430",0.48,0.42,0.24,0.24,0.11
"431",0.47,0.47,0.24,0.16,0.09
"432",0.61,0.43,0.32,0.09,0.12
"433",0.64,0.38,0.25,0.28,0.1
"434",0.47,0.47,0.38,0.17,0.09
"435",0.46,0.39,0.45,0.18,0.06
"436",0.58,0.37,0.26,0.28,0.09
"437",0.49,0.31,0.35,0.15,0.08
"438",0.48,0.52,0.24,0.19,0.08
"439",0.52,0.52,0.4,0.19,0.07
"440",0.43,0.3,0.21,0.22,0.05
"441",0.45,0.35,0.35,0.11,0.13
"442",0.41,0.46,0.36,0.25,0.08
"443",0.55,0.37,0.32,0.21,0.09
"444",0.51,0.52,0.33,0.22,0.07
"445",0.53,0.36,0.37,0.16,0.1
"446",0.55,0.26,0.3,0.23,0.08
"447",0.63,0.35,0.29,0.06,0.07
"448",0.54,0.42,0.15,0.15,0.1
"449",0.53,0.38,0.22,0.27,0.11
"450",0.51,0.28,0.28,0.24,0.09
"451",0.5,0.45,0.39,0.27,0.06
"452",0.71,0.39,0.28,0.21,0.06
"453",0.52,0.38,0.29,0.28,0.08
"454",0.62,0.44,0.27,0.16,0.1
"455",0.44,0.35,0.28,0.2,0.13
"456",0.48,0.38,0.24,0.22,0.07
"457",0.44,0.38,0.25,0.19,0.16
"458",0.4,0.37,0.33,0.27,0.12
