"day"	"event"	"line"	"censor"	"sex"	"chro"	"allele"
"229"	7	4	"L3"	0	"M"	"B"	"L"
"230"	7	4	"L3"	0	"M"	"B"	"L"
"231"	12	2	"L3"	0	"M"	"B"	"L"
"232"	12	2	"L3"	0	"M"	"B"	"L"
"233"	14	1	"L3"	0	"M"	"B"	"L"
"234"	17	2	"L3"	0	"M"	"B"	"L"
"235"	17	2	"L3"	0	"M"	"B"	"L"
"236"	19	1	"L3"	0	"M"	"B"	"L"
"237"	21	2	"L3"	0	"M"	"B"	"L"
"238"	21	2	"L3"	0	"M"	"B"	"L"
"239"	26	1	"L3"	0	"M"	"B"	"L"
"240"	28	3	"L3"	0	"M"	"B"	"L"
"241"	28	3	"L3"	0	"M"	"B"	"L"
"242"	28	3	"L3"	0	"M"	"B"	"L"
"243"	33	1	"L3"	0	"M"	"B"	"L"
"244"	35	1	"L3"	0	"M"	"B"	"L"
"245"	40	1	"L3"	0	"M"	"B"	"L"
"246"	3	2	"S1"	0	"M"	"B"	"S"
"247"	3	2	"S1"	0	"M"	"B"	"S"
"248"	5	1	"S1"	0	"M"	"B"	"S"
"249"	7	3	"S1"	0	"M"	"B"	"S"
"250"	7	3	"S1"	0	"M"	"B"	"S"
"251"	7	3	"S1"	0	"M"	"B"	"S"
"252"	10	1	"S1"	0	"M"	"B"	"S"
"253"	19	1	"S1"	0	"M"	"B"	"S"
"254"	24	2	"S1"	0	"M"	"B"	"S"
"255"	24	2	"S1"	0	"M"	"B"	"S"
"256"	28	1	"S1"	0	"M"	"B"	"S"
"257"	31	1	"S1"	0	"M"	"B"	"S"
"258"	33	3	"S1"	0	"M"	"B"	"S"
"259"	33	3	"S1"	0	"M"	"B"	"S"
"260"	33	3	"S1"	0	"M"	"B"	"S"
"261"	35	3	"S1"	0	"M"	"B"	"S"
"262"	35	3	"S1"	0	"M"	"B"	"S"
"263"	35	3	"S1"	0	"M"	"B"	"S"
"264"	38	4	"S1"	0	"M"	"B"	"S"
"265"	38	4	"S1"	0	"M"	"B"	"S"
"266"	38	4	"S1"	0	"M"	"B"	"S"
"267"	38	4	"S1"	0	"M"	"B"	"S"
"268"	40	1	"S1"	0	"M"	"B"	"S"
"269"	45	3	"S1"	0	"M"	"B"	"S"
"270"	45	3	"S1"	0	"M"	"B"	"S"
"271"	45	3	"S1"	0	"M"	"B"	"S"
"272"	49	2	"S1"	0	"M"	"B"	"S"
"273"	49	2	"S1"	0	"M"	"B"	"S"
"274"	52	4	"S1"	0	"M"	"B"	"S"
"275"	52	4	"S1"	0	"M"	"B"	"S"
"276"	52	4	"S1"	0	"M"	"B"	"S"
"277"	52	4	"S1"	0	"M"	"B"	"S"
"278"	54	2	"S1"	0	"M"	"B"	"S"
"279"	54	2	"S1"	0	"M"	"B"	"S"
"280"	56	1	"S1"	0	"M"	"B"	"S"
"281"	59	2	"S1"	0	"M"	"B"	"S"
"282"	59	2	"S1"	0	"M"	"B"	"S"
"283"	61	2	"S1"	0	"M"	"B"	"S"
"284"	61	2	"S1"	0	"M"	"B"	"S"
"285"	63	1	"S1"	0	"M"	"B"	"S"
"286"	66	8	"S1"	0	"M"	"B"	"S"
"287"	66	8	"S1"	0	"M"	"B"	"S"
"288"	66	8	"S1"	0	"M"	"B"	"S"
"289"	66	8	"S1"	0	"M"	"B"	"S"
"290"	66	8	"S1"	0	"M"	"B"	"S"
"291"	66	8	"S1"	0	"M"	"B"	"S"
"292"	66	8	"S1"	0	"M"	"B"	"S"
"293"	66	8	"S1"	0	"M"	"B"	"S"
"294"	68	5	"S1"	0	"M"	"B"	"S"
"295"	68	5	"S1"	0	"M"	"B"	"S"
"296"	68	5	"S1"	0	"M"	"B"	"S"
"297"	68	5	"S1"	0	"M"	"B"	"S"
"298"	68	5	"S1"	0	"M"	"B"	"S"
"299"	70	4	"S1"	0	"M"	"B"	"S"
"300"	70	4	"S1"	0	"M"	"B"	"S"
"301"	70	4	"S1"	0	"M"	"B"	"S"
"302"	70	4	"S1"	0	"M"	"B"	"S"
"303"	73	5	"S1"	0	"M"	"B"	"S"
"304"	73	5	"S1"	0	"M"	"B"	"S"
"305"	73	5	"S1"	0	"M"	"B"	"S"
"306"	73	5	"S1"	0	"M"	"B"	"S"
"307"	73	5	"S1"	0	"M"	"B"	"S"
"308"	75	1	"S1"	0	"M"	"B"	"S"
"309"	77	1	"S1"	0	"M"	"B"	"S"
"310"	80	1	"S1"	0	"M"	"B"	"S"
"311"	82	2	"S1"	0	"M"	"B"	"S"
"312"	82	2	"S1"	0	"M"	"B"	"S"
"313"	87	1	"S1"	0	"M"	"B"	"S"
"314"	5	5	"S1"	0	"M"	"B"	"S"
"315"	5	5	"S1"	0	"M"	"B"	"S"
"316"	5	5	"S1"	0	"M"	"B"	"S"
"317"	5	5	"S1"	0	"M"	"B"	"S"
"318"	5	5	"S1"	0	"M"	"B"	"S"
"319"	7	2	"S1"	0	"M"	"B"	"S"
"320"	7	2	"S1"	0	"M"	"B"	"S"
"321"	26	2	"S1"	0	"M"	"B"	"S"
"322"	26	2	"S1"	0	"M"	"B"	"S"
"323"	33	2	"S1"	0	"M"	"B"	"S"
"324"	33	2	"S1"	0	"M"	"B"	"S"
"325"	38	2	"S1"	0	"M"	"B"	"S"
"326"	38	2	"S1"	0	"M"	"B"	"S"
"327"	3	2	"S2"	0	"M"	"B"	"S"
"328"	3	2	"S2"	0	"M"	"B"	"S"
"329"	7	1	"S2"	0	"M"	"B"	"S"
"330"	10	2	"S2"	0	"M"	"B"	"S"
"331"	10	2	"S2"	0	"M"	"B"	"S"
"332"	12	2	"S2"	0	"M"	"B"	"S"
"333"	12	2	"S2"	0	"M"	"B"	"S"
"334"	14	2	"S2"	0	"M"	"B"	"S"
"335"	14	2	"S2"	0	"M"	"B"	"S"
"336"	17	3	"S2"	0	"M"	"B"	"S"
"337"	17	3	"S2"	0	"M"	"B"	"S"
"338"	17	3	"S2"	0	"M"	"B"	"S"
"339"	19	1	"S2"	0	"M"	"B"	"S"
"340"	21	2	"S2"	0	"M"	"B"	"S"
"341"	21	2	"S2"	0	"M"	"B"	"S"
"342"	26	3	"S2"	0	"M"	"B"	"S"
"343"	26	3	"S2"	0	"M"	"B"	"S"
"344"	26	3	"S2"	0	"M"	"B"	"S"
"345"	28	1	"S2"	0	"M"	"B"	"S"
"346"	31	3	"S2"	0	"M"	"B"	"S"
"347"	31	3	"S2"	0	"M"	"B"	"S"
"348"	31	3	"S2"	0	"M"	"B"	"S"
"349"	33	2	"S2"	0	"M"	"B"	"S"
"350"	33	2	"S2"	0	"M"	"B"	"S"
"351"	35	1	"S2"	0	"M"	"B"	"S"
"352"	40	2	"S2"	0	"M"	"B"	"S"
"353"	40	2	"S2"	0	"M"	"B"	"S"
"354"	45	7	"S2"	0	"M"	"B"	"S"
"355"	45	7	"S2"	0	"M"	"B"	"S"
"356"	45	7	"S2"	0	"M"	"B"	"S"
"357"	45	7	"S2"	0	"M"	"B"	"S"
"358"	45	7	"S2"	0	"M"	"B"	"S"
"359"	45	7	"S2"	0	"M"	"B"	"S"
"360"	45	7	"S2"	0	"M"	"B"	"S"
"361"	47	2	"S2"	0	"M"	"B"	"S"
"362"	47	2	"S2"	0	"M"	"B"	"S"
"363"	52	3	"S2"	0	"M"	"B"	"S"
"364"	52	3	"S2"	0	"M"	"B"	"S"
"365"	52	3	"S2"	0	"M"	"B"	"S"
"366"	54	1	"S2"	0	"M"	"B"	"S"
"367"	56	3	"S2"	0	"M"	"B"	"S"
"368"	56	3	"S2"	0	"M"	"B"	"S"
"369"	56	3	"S2"	0	"M"	"B"	"S"
"370"	59	3	"S2"	0	"M"	"B"	"S"
"371"	59	3	"S2"	0	"M"	"B"	"S"
"372"	59	3	"S2"	0	"M"	"B"	"S"
"373"	61	3	"S2"	0	"M"	"B"	"S"
"374"	61	3	"S2"	0	"M"	"B"	"S"
"375"	61	3	"S2"	0	"M"	"B"	"S"
"376"	63	6	"S2"	0	"M"	"B"	"S"
"377"	63	6	"S2"	0	"M"	"B"	"S"
"378"	63	6	"S2"	0	"M"	"B"	"S"
"379"	63	6	"S2"	0	"M"	"B"	"S"
"380"	63	6	"S2"	0	"M"	"B"	"S"
"381"	63	6	"S2"	0	"M"	"B"	"S"
"382"	66	4	"S2"	0	"M"	"B"	"S"
"383"	66	4	"S2"	0	"M"	"B"	"S"
"384"	66	4	"S2"	0	"M"	"B"	"S"
"385"	66	4	"S2"	0	"M"	"B"	"S"
"386"	70	2	"S2"	0	"M"	"B"	"S"
"387"	70	2	"S2"	0	"M"	"B"	"S"
"388"	73	6	"S2"	0	"M"	"B"	"S"
"389"	73	6	"S2"	0	"M"	"B"	"S"
"390"	73	6	"S2"	0	"M"	"B"	"S"
"391"	73	6	"S2"	0	"M"	"B"	"S"
"392"	73	6	"S2"	0	"M"	"B"	"S"
"393"	73	6	"S2"	0	"M"	"B"	"S"
"394"	75	2	"S2"	0	"M"	"B"	"S"
"395"	75	2	"S2"	0	"M"	"B"	"S"
"396"	77	1	"S2"	0	"M"	"B"	"S"
"397"	82	1	"S2"	0	"M"	"B"	"S"
"398"	87	3	"S2"	0	"M"	"B"	"S"
"399"	87	3	"S2"	0	"M"	"B"	"S"
"400"	87	3	"S2"	0	"M"	"B"	"S"
"401"	5	1	"S2"	0	"M"	"B"	"S"
"402"	10	3	"S2"	0	"M"	"B"	"S"
"403"	10	3	"S2"	0	"M"	"B"	"S"
"404"	10	3	"S2"	0	"M"	"B"	"S"
"405"	12	3	"S2"	0	"M"	"B"	"S"
"406"	12	3	"S2"	0	"M"	"B"	"S"
"407"	12	3	"S2"	0	"M"	"B"	"S"
"408"	14	1	"S2"	0	"M"	"B"	"S"
"409"	19	2	"S2"	0	"M"	"B"	"S"
"410"	19	2	"S2"	0	"M"	"B"	"S"
"411"	24	1	"S2"	0	"M"	"B"	"S"
"412"	26	1	"S2"	0	"M"	"B"	"S"
"413"	38	1	"S2"	0	"M"	"B"	"S"
"414"	40	1	"S2"	0	"M"	"B"	"S"
"415"	3	1	"L1"	0	"M"	"D"	"L"
"416"	7	4	"L1"	0	"M"	"D"	"L"
"417"	7	4	"L1"	0	"M"	"D"	"L"
"418"	7	4	"L1"	0	"M"	"D"	"L"
"419"	7	4	"L1"	0	"M"	"D"	"L"
"420"	10	2	"L1"	0	"M"	"D"	"L"
"421"	10	2	"L1"	0	"M"	"D"	"L"
"422"	17	1	"L1"	0	"M"	"D"	"L"
"423"	19	1	"L1"	0	"M"	"D"	"L"
"424"	21	2	"L1"	0	"M"	"D"	"L"
"425"	21	2	"L1"	0	"M"	"D"	"L"
"426"	24	2	"L1"	0	"M"	"D"	"L"
"427"	24	2	"L1"	0	"M"	"D"	"L"
"428"	28	1	"L1"	0	"M"	"D"	"L"
"429"	31	2	"L1"	0	"M"	"D"	"L"
"430"	31	2	"L1"	0	"M"	"D"	"L"
"431"	33	3	"L1"	0	"M"	"D"	"L"
"432"	33	3	"L1"	0	"M"	"D"	"L"
"433"	33	3	"L1"	0	"M"	"D"	"L"
"434"	35	4	"L1"	0	"M"	"D"	"L"
"435"	35	4	"L1"	0	"M"	"D"	"L"
"436"	35	4	"L1"	0	"M"	"D"	"L"
"437"	35	4	"L1"	0	"M"	"D"	"L"
