Line,Vial,eggsin,male1 ,female1,male2,female2,male3,female3,male4,female4,male5,female5,Total,propsurv,males,females,propmale,propfemale,propexpsurvmale,propexpsurvfem,allele
24,1,50,11,20,2,1,0,0,0,0,0,0,34,0.68,13,21,0.382352941,0.617647059,0.52,0.84,S
24,2,50,10,12,8,5,1,0,0,0,0,0,36,0.72,19,17,0.527777778,0.472222222,0.76,0.68,S
24,3,50,13,11,7,5,1,1,0,0,0,0,38,0.76,21,17,0.552631579,0.447368421,0.84,0.68,S
24,4,50,10,12,4,4,0,0,0,0,0,0,30,0.6,14,16,0.466666667,0.533333333,0.56,0.64,S
24,5,50,10,14,4,1,0,0,0,0,0,0,29,0.58,14,15,0.482758621,0.517241379,0.56,0.6,S
24,6,50,14,14,0,1,0,0,0,0,0,0,29,0.58,14,15,0.482758621,0.517241379,0.56,0.6,S
24,7,50,14,18,4,6,0,0,0,0,0,0,42,0.84,18,24,0.428571429,0.571428571,0.72,0.96,S
24,8,50,12,18,0,0,1,0,0,0,0,0,31,0.62,13,18,0.419354839,0.580645161,0.52,0.72,S
24,9,50,12,15,1,0,7,4,0,0,1,0,40,0.8,21,19,0.525,0.475,0.84,0.76,S
24,10,50,11,16,7,4,0,2,0,0,0,0,40,0.8,18,22,0.45,0.55,0.72,0.88,S
24,11,50,13,16,3,2,0,0,0,0,0,0,34,0.68,16,18,0.470588235,0.529411765,0.64,0.72,S
24,12,50,10,12,1,3,0,0,0,1,0,0,27,0.54,11,16,0.407407407,0.592592593,0.44,0.64,S
24,13,50,9,9,7,4,0,1,0,0,0,0,30,0.6,16,14,0.533333333,0.466666667,0.64,0.56,S
24,14,50,8,15,3,2,0,1,1,0,0,0,30,0.6,12,18,0.4,0.6,0.48,0.72,S
24,15,50,12,19,1,3,0,0,0,0,0,0,35,0.7,13,22,0.371428571,0.628571429,0.52,0.88,S
24,16,50,10,11,3,8,0,0,0,0,0,0,32,0.64,13,19,0.40625,0.59375,0.52,0.76,S
24,17,50,12,10,2,2,0,0,0,0,0,0,26,0.52,14,12,0.538461538,0.461538462,0.56,0.48,S
24,18,50,14,13,3,3,0,0,0,0,0,0,33,0.66,17,16,0.515151515,0.484848485,0.68,0.64,S
95,1,50,2,2,2,2,0,0,0,0,0,0,8,0.16,4,4,0.5,0.5,0.16,0.16,S
95,2,50,1,3,0,0,1,0,0,0,0,0,5,0.1,2,3,0.4,0.6,0.08,0.12,S
95,3,50,1,1,0,1,0,0,0,0,0,0,3,0.06,1,2,0.333333333,0.666666667,0.04,0.08,S
95,4,50,2,1,0,0,0,0,0,0,0,0,3,0.06,2,1,0.666666667,0.333333333,0.08,0.04,S
95,5,50,3,6,0,0,0,0,1,0,0,0,10,0.2,4,6,0.4,0.6,0.16,0.24,S
95,6,50,3,3,0,1,0,0,0,0,0,0,7,0.14,3,4,0.428571429,0.571428571,0.12,0.16,S
95,7,50,2,1,1,1,0,0,0,0,0,0,5,0.1,3,2,0.6,0.4,0.12,0.08,S
95,8,50,1,7,0,0,0,0,0,0,0,0,8,0.16,1,7,0.125,0.875,0.04,0.28,S
95,9,50,5,5,1,0,0,0,0,0,0,0,11,0.22,6,5,0.545454545,0.454545455,0.24,0.2,S
95,10,50,6,4,0,0,1,0,0,0,0,0,11,0.22,7,4,0.636363636,0.363636364,0.28,0.16,S
95,11,50,5,8,0,0,0,0,0,0,0,0,13,0.26,5,8,0.384615385,0.615384615,0.2,0.32,S
95,12,50,2,3,0,0,0,0,0,0,0,0,5,0.1,2,3,0.4,0.6,0.08,0.12,S
95,13,50,1,4,0,0,0,0,0,0,0,0,5,0.1,1,4,0.2,0.8,0.04,0.16,S
95,14,50,2,4,0,0,0,0,0,0,0,0,6,0.12,2,4,0.333333333,0.666666667,0.08,0.16,S
95,15,50,6,5,1,1,0,0,0,0,0,0,13,0.26,7,6,0.538461538,0.461538462,0.28,0.24,S
95,16,50,1,1,4,4,2,3,0,0,0,0,15,0.3,7,8,0.466666667,0.533333333,0.28,0.32,S
95,17,50,3,7,0,0,0,0,0,0,0,0,10,0.2,3,7,0.3,0.7,0.12,0.28,S
95,18,50,6,4,1,1,0,0,0,0,0,0,12,0.24,7,5,0.583333333,0.416666667,0.28,0.2,S
